year,bank_group,gross_npa_cr,gross_adv_cr,gnpa_ratio,credit_growth,roa,repo_rate,cpi_avg,iip_avg,gdp_growth,credit_growth_lag1,credit_growth_lag2,credit_growth_3y_avg,gnpa_next1yr,gnpa_next2yr,stress_next1yr,stress_next2yr,net_npa_cr,pcr
2004,Foreign,3038.84,62602.5,4.8541831396509725,,,,,,,,,,3.051826380736183,2.123972422767483,0.0,0.0,,
2005,Foreign,2233.0,73169.3,3.051826380736183,16.879198115091263,1.60521,,,,,,,,2.123972422767483,1.9241720606046024,0.0,0.0,639.0759,71.3803896103896
2006,Foreign,2037.0,95905.2,2.123972422767483,31.073004661791217,2.080857,,,,,16.879198115091263,,23.97610138844124,1.9241720606046024,1.9196056218800184,0.0,0.0,807.6425,60.35137457044674
2007,Foreign,2399.0,124677.0,1.9241720606046024,30.00025024711903,2.284782,,,,,31.073004661791217,16.879198115091263,25.984151008000502,1.9196056218800184,4.366377301994636,0.0,0.0,927.4925,61.33837015423094
2008,Foreign,3084.0,160658.0,1.9196056218800184,28.8593726188471,2.088977,,,,,30.00025024711903,31.073004661791217,29.977542509252448,4.366377301994636,4.356594568460618,0.0,0.0,1246.61,59.57814526588846
2009,Foreign,7248.694,166011.627,4.366377301994636,3.3323127388614315,1.988984,,,,,28.8593726188471,30.00025024711903,20.73064520160919,4.356594568460618,2.6141323085069343,0.0,0.0,2996.7214,58.658464545475375
2010,Foreign,7110.53,163213.03,4.356594568460618,-1.6857837312804658,1.263398,,,,,3.3323127388614315,28.8593726188471,10.168633875476024,2.6141323085069343,2.7643419336944217,0.0,0.0,2977.2179,58.12945167237884
2011,Foreign,5044.54,192971.87,2.6141323085069343,18.233127587913778,1.745219,6.5,6.535,7.925,,-1.6857837312804658,3.3323127388614315,6.626552198498248,2.7643419336944217,3.0435520339293096,0.0,0.0,1312.4549,73.98266442529943
2012,Foreign,6268.9,226777.3,2.7643419336944217,17.51832015723327,1.761579,8.023,5.671,3.242,,18.233127587913778,-1.6857837312804658,11.355221337955529,3.0435520339293096,3.861383987054482,0.0,0.0,1412.4217,77.46938537861506
2013,Foreign,7925.56,260404.945,3.0435520339293096,14.828488124693262,1.916868,7.932,6.647,1.036,5.459,17.51832015723327,18.233127587913778,16.859978623280103,3.861383987054482,3.1959305900911743,0.0,0.0,2662.5629,66.40536567763036
2014,Foreign,11567.76,299575.49,3.861383987054482,15.042166345957831,1.540306,7.568,7.921,-0.186,6.085,14.828488124693262,17.51832015723327,15.796324875961457,3.1959305900911743,4.195965768066048,0.0,0.0,3159.6418,72.68579396529665
2015,Foreign,10757.79,336609.0,3.1959305900911743,12.36199596969698,1.84008895701,7.932,8.11,2.829,7.182,15.042166345957831,14.828488124693262,14.077550146782691,4.195965768066048,3.964086942898151,0.0,0.0,1761.6601,83.62433083374931
2016,Foreign,15797.9931,376504.3371,4.195965768066048,11.852130246071855,1.447979328574,7.068,6.88,3.375,8.025,12.36199596969698,15.042166345957831,13.085430853908887,3.964086942898151,3.806627222015117,0.0,0.0,2761.8828,82.51750850555823
2017,Foreign,13621.046,343611.182,3.964086942898151,-8.736461139692942,1.611832793803,6.375,5.398,4.724,7.992,11.852130246071855,12.36199596969698,5.159221692025299,3.806627222015117,2.9941385117935253,0.0,0.0,2136.8853,84.31188544550837
2018,Foreign,13829.655,363304.684,3.806627222015117,5.73133327191897,1.342635505665,6.083,4.491,4.418,6.218,-8.736461139692942,11.852130246071855,2.9490007927659616,2.9941385117935253,2.34101218474787,0.0,0.0,1548.1014,88.80592899822881
2019,Foreign,12182.59,406881.31,2.9941385117935253,11.99451257281341,1.564568985616,6.333,4.197,3.914,5.833,5.73133327191897,-8.736461139692942,2.9964615683464797,2.34101218474787,2.4247871654932585,0.0,0.0,2051.4377,83.16090667091316
2020,Foreign,10208.35,436065.65,2.34101218474787,7.172691220444616,1.545991764,5.371,4.249,-0.639,3.951,11.99451257281341,5.73133327191897,8.299512355058999,2.4247871654932585,2.895740666010817,0.0,0.0,2004.518273,80.36393469071888
2021,Foreign,10199.06,420616.71,2.4247871654932585,-3.5428014107508843,1.558787196,4.033,4.287,-8.202,-4.268,7.172691220444616,11.99451257281341,5.2081341275023805,2.895740666010817,1.8939778034413584,0.0,0.0,3241.248753,68.22012270738675
2022,Foreign,13786.18,476084.76,2.895740666010817,13.187314883424396,1.414447,4.0,4.462,7.718,10.252,-3.5428014107508843,7.172691220444616,5.605734897706043,1.8939778034413584,1.194442941521476,0.0,0.0,3022.72041,78.07427140803327
2023,Foreign,9544.5,503939.38,1.8939778034413584,5.850769094141972,1.473071,5.567,2.81,5.513,6.962,13.187314883424396,-3.5428014107508843,5.165094188938494,1.194442941521476,0.8605401566162333,0.0,0.0,1655.902181,82.65071841374613
2024,Foreign,6523.1025,546120.896465,1.194442941521476,8.370355272691722,1.654257,6.5,1.53,5.901,8.189,5.850769094141972,13.187314883424396,9.136146416752696,0.8605401566162333,,0.0,,811.655806,87.55721213946892
